# JMH version: 1.27
# VM version: JDK 11.0.9, OpenJDK 64-Bit Server VM, 11.0.9+10-jvmci-20.3-b06
# VM invoker: /home/user/Downloads/graalvm-ce-java11-20.3.0/bin/java
# VM options: -XX:+UnlockExperimentalVMOptions -XX:+EnableJVMCIProduct -XX:-UnlockExperimentalVMOptions -XX:ThreadPriorityPolicy=1
# JMH blackhole mode: full blackhole + dont-inline hint
Benchmark                       (arraySize)   Mode  Cnt         Score       Error  Units
LogBenchmark.kmath                     1000  thrpt   10    131455.124 ±   361.101  ops/s
LogBenchmark.kmath                    10000  thrpt   10     13202.421 ±    24.218  ops/s
LogBenchmark.kmath                   100000  thrpt   10      1315.578 ±     2.311  ops/s
LogBenchmark.kmath                  1000000  thrpt   10       127.637 ±     0.288  ops/s
LogBenchmark.kmath                 10000000  thrpt   10        12.654 ±     0.027  ops/s
LogBenchmark.math                       100  thrpt   10   1282863.279 ±  1673.222  ops/s
LogBenchmark.math                      1000  thrpt   10    131057.514 ±   387.482  ops/s
LogBenchmark.math                     10000  thrpt   10     13103.686 ±    97.302  ops/s
LogBenchmark.math                    100000  thrpt   10      1308.271 ±     5.838  ops/s
LogBenchmark.math                   1000000  thrpt   10       127.010 ±     0.296  ops/s
LogBenchmark.math                  10000000  thrpt   10        12.656 ±     0.041  ops/s
LogBenchmark.multik                     100  thrpt   10    713739.578 ±  6354.371  ops/s
LogBenchmark.multik                    1000  thrpt   10     89792.518 ±   135.252  ops/s
LogBenchmark.multik                   10000  thrpt   10      9218.522 ±    27.187  ops/s
LogBenchmark.multik                  100000  thrpt   10       923.839 ±     1.769  ops/s
LogBenchmark.multik                 1000000  thrpt   10        90.798 ±     0.154  ops/s
LogBenchmark.multik                10000000  thrpt   10         9.076 ±     0.023  ops/s
LogBenchmark.viktor                     100  thrpt   10   1832892.744 ±  2710.182  ops/s
LogBenchmark.viktor                    1000  thrpt   10    260539.682 ±   882.681  ops/s
LogBenchmark.viktor                   10000  thrpt   10     27752.850 ±    46.240  ops/s
LogBenchmark.viktor                  100000  thrpt   10      2814.446 ±    19.020  ops/s
LogBenchmark.viktor                 1000000  thrpt   10       269.558 ±     0.933  ops/s
LogBenchmark.viktor                10000000  thrpt   10        27.049 ±     0.063  ops/s
LogSumExpBenchmark.fastMath             100  thrpt   10    823343.730 ±  1334.401  ops/s
LogSumExpBenchmark.fastMath            1000  thrpt   10     85016.672 ±   118.117  ops/s
LogSumExpBenchmark.fastMath           10000  thrpt   10      8514.480 ±    19.863  ops/s
LogSumExpBenchmark.fastMath          100000  thrpt   10       841.579 ±     6.874  ops/s
LogSumExpBenchmark.fastMath         1000000  thrpt   10        83.753 ±     0.110  ops/s
LogSumExpBenchmark.fastMath        10000000  thrpt   10         8.313 ±     0.015  ops/s
LogSumExpBenchmark.math                 100  thrpt   10   1576586.922 ±  4476.009  ops/s
LogSumExpBenchmark.math                1000  thrpt   10    163191.750 ±   157.465  ops/s
LogSumExpBenchmark.math               10000  thrpt   10     16336.732 ±    26.477  ops/s
LogSumExpBenchmark.math              100000  thrpt   10      1627.321 ±    10.480  ops/s
