# JMH version: 1.27
# VM version: JDK 15.0.1, Java HotSpot(TM) 64-Bit Server VM, 15.0.1+9-18
# VM invoker: /home/user/Downloads/jdk-15.0.1/bin/java
# VM options: <none>
# JMH blackhole mode: full blackhole + dont-inline hint
Benchmark                       (arraySize)   Mode  Cnt         Score       Error  Units
MultiplicationBenchmark.multik      1000000  thrpt   10       281.977 ±    51.073  ops/s
MultiplicationBenchmark.multik     10000000  thrpt   10        42.956 ±     0.073  ops/s
MultiplicationBenchmark.viktor          100  thrpt   10   9612985.646 ± 22791.468  ops/s
MultiplicationBenchmark.viktor         1000  thrpt   10   1659591.490 ±  2789.545  ops/s
MultiplicationBenchmark.viktor        10000  thrpt   10    146570.991 ±   574.822  ops/s
MultiplicationBenchmark.viktor       100000  thrpt   10     13294.009 ±    45.210  ops/s
MultiplicationBenchmark.viktor      1000000  thrpt   10       357.350 ±    31.050  ops/s
MultiplicationBenchmark.viktor     10000000  thrpt   10        42.522 ±    18.165  ops/s
SumBenchmark.loop                       100  thrpt   10  14467215.413 ± 15608.596  ops/s
SumBenchmark.loop                      1000  thrpt   10    928245.014 ±  1465.585  ops/s
SumBenchmark.loop                     10000  thrpt   10     89376.134 ±   106.611  ops/s
SumBenchmark.loop                    100000  thrpt   10      8904.896 ±    14.408  ops/s
SumBenchmark.loop                   1000000  thrpt   10       879.546 ±     0.520  ops/s
SumBenchmark.loop                  10000000  thrpt   10        86.441 ±     0.350  ops/s
SumBenchmark.multik                     100  thrpt   10   2166831.467 ±  3533.057  ops/s
SumBenchmark.multik                    1000  thrpt   10    151289.833 ±   901.454  ops/s
SumBenchmark.multik                   10000  thrpt   10     16592.456 ±    59.630  ops/s
SumBenchmark.multik                  100000  thrpt   10      1676.873 ±    16.075  ops/s
SumBenchmark.multik                 1000000  thrpt   10       168.978 ±     0.535  ops/s
SumBenchmark.multik                10000000  thrpt   10        16.686 ±     0.106  ops/s
SumBenchmark.viktor                     100  thrpt   10  12566786.356 ± 17615.988  ops/s
SumBenchmark.viktor                    1000  thrpt   10   3837730.280 ±  4288.257  ops/s
SumBenchmark.viktor                   10000  thrpt   10    461524.319 ±   463.889  ops/s
SumBenchmark.viktor                  100000  thrpt   10     43128.989 ±   326.804  ops/s
SumBenchmark.viktor                 1000000  thrpt   10      3150.586 ±    20.728  ops/s
SumBenchmark.viktor                10000000  thrpt   10       199.452 ±     0.723  ops/s
